We live in a fantasy world, a world of illusion. The great task in life is to find reality. But given the state of the world, is it wise? | Iris Murdoch | Unknown
The moment you doubt whether you can fly, you cease forever to be able to do it. | J.M. Barrie | Peter Pan
Fantasy mirrors desire. Imagination reshapes it. | Mason Cooley | Unknown
Your mind doesn’t know the difference between reality and fantasy. Your mind acts on what you feed it. Feed it good thoughts. | Zig Ziglar | Unknown
If you don’t turn your life into a fantasy story, you just become a part of someone else’s fantasy story. | Terry Pratchett | The Amazing Maurice and His Educated Rodents
Peter did not feel very brave; indeed, he felt he was going to be sick. But that made no difference to what he had to do. | C.S. Lewis | The Chronicles of Narnia: The Lion, the Witch, and the Wardrobe
Even the smallest person can change the course of history. | J.R.R. Tolkien | Lord of the Rings: The Fellowship of the Ring
“Begin at the beginning,” the King said, very gravely, “and go in till you come to the end: then stop." | Lewis Carroll | Alice in Wonderland
There is nothing like looking, if you want to find something. You certainly usually find something, if you look, but it is not always quite the something you were after. | J.R.R. Tolkien | The Hobbit
If you can dream it, you can do it. | Walt Disney | Unknown
Imagination is everything. It is the preview of life’s coming attractions. | Albert Einstein | Unknown
Do not meddle in the affairs of wizards, for they are subtle and quick to anger. | J.R.R. Tolkien | Lord of the Rings: The Ring Sets Out
Fairy tales are more than true not because they tell us that dragons exist but because they tell us that dragons can be beaten. | Neil Gaiman | Coraline
All the world is made of faith, and trust, and pixie dust. | J.M. Barrie | Peter Pan
The flower that blooms in adversity is the most rare and beautiful of all. | The Emperor | Mulan 1998
Don't just fly, soar. | Dumbo | Dumbo 1941
Today is a good day to try. | Quasimodo | The Hunchback of Notre Dame 1996
You must unlearn what you have learned…No! Try not. Do. Or do not. There is no try. | Yoda | Star Wars Episode V: The Empire Strikes Back 1980
It’s not safe out here. It’s wondrous, with treasures to satiate desires both subtle and gross; but it’s not for the timid. | Q | Star Trek: The Next Generation
Invention, my dear friends, is 93% perspiration, 6% electricity, 4% evaporation, and 2% butterscotch ripple. | Willy Wonka | Willy Wonka & the Chocolate Factory